Region,Gender,Speaker label,Word,Vowel Phoneme,Class Number,Formant 1,Formant 2,Formant 3
gla_001,M,iwd001,had,AE,2,917,1475,2766
gla_001,M,iwd001,hood,UH,3,814,2020,2767
gla_001,M,jmc002,Heed,IY,1,304,2554,3086
gla_001,M,jmc002,had,AE,2,754,1329,2750
gla_001,M,jmc002,hood,UH,3,1260,2227,3187
gla_001,M,ljg001,Heed,IY,1,322,2499,2993
gla_001,M,ljg001,had,AE,2,810,1392,2502
gla_001,M,ljg001,hood,UH,3,429,1703,2601
gla_001,M,rac001,Heed,IY,1,2514,3129,4028
gla_001,M,rac001,had,AE,2,928,1442,2568
gla_001,M,rac001,hood,UH,3,1588,2498,3310
ncl_001,F,ext001,Heed,IY,1,325,2768,3405
ncl_001,F,ext001,had,AE,2,924,1477,2873
ncl_001,F,ext001,hood,UH,3,439,903,2569
ncl_001,F,jxh002,Heed,IY,1,320,2558,3003
ncl_001,F,jxh002,had,AE,2,1020,1466,2466
ncl_001,F,jxh002,hood,UH,3,528,733,2759
ncl_001,F,kjb001,Heed,IY,1,300,2734,2876
ncl_001,F,kjb001,had,AE,2,919,1454,2567
ncl_001,F,kjb001,hood,UH,3,724,2654,3681
ncl_001,F,law001,Heed,IY,1,307,2804,3239
ncl_001,F,law001,had,AE,2,927,1654,2532
ncl_001,F,law001,hood,UH,3,345,1581,2661
ncl_001,F,mlg001,Heed,IY,1,339,2785,3268
ncl_001,F,mlg001,had,AE,2,1087,1603,3081
ncl_001,F,mlg001,hood,UH,3,394,1000,2889
ncl_001,M,dxc001,Heed,IY,1,1441,2624,3182
ncl_001,M,dxc001,had,AE,2,748,1242,2553
ncl_001,M,dxc001,hood,UH,3,655,2770,3173
ncl_001,M,ggc001,Heed,IY,1,287,2363,2698
ncl_001,M,ggc001,had,AE,2,819,1295,2500
ncl_001,M,ggc001,hood,UH,3,620,771,2643
ncl_001,M,jon001,Heed,IY,1,1358,2225,2834
ncl_001,M,jon001,had,AE,2,797,1257,2414
ncl_001,M,jon001,hood,UH,3,520,1725,3133
ncl_001,M,jxb001,Heed,IY,1,2283,2841,3217
ncl_001,M,jxb001,had,AE,2,804,1244,2796
ncl_001,M,jxb001,hood,UH,3,827,2329,3235
ncl_001,M,jxm001,Heed,IY,1,265,2486,3127
ncl_001,M,jxm001,had,AE,2,761,1418,2540
ncl_001,M,jxm001,hood,UH,3,831,2502,3080
nwa_001,F,aaj002,Heed,IY,1,408,2638,3025
nwa_001,F,aaj002,had,AE,2,1010,1613,2903
nwa_001,F,aaj002,hood,UH,3,686,803,3107
nwa_001,F,acl001,Heed,IY,1,323,2848,3232
nwa_001,F,acl001,had,AE,2,894,1387,2724
nwa_001,F,acl001,hood,UH,3,474,1021,2952
nwa_001,F,bea001,Heed,IY,1,292,2902,3199
nwa_001,F,bea001,had,AE,2,979,1557,2863
nwa_001,F,bea001,hood,UH,3,496,1153,3044
nwa_001,F,bej001,Heed,IY,1,386,2896,3404
nwa_001,F,bej001,had,AE,2,894,1592,2878
nwa_001,F,bej001,hood,UH,3,573,1161,2834
nwa_001,F,ehl001,Heed,IY,1,523,2979,3479
nwa_001,F,ehl001,had,AE,2,1099,1576,2969
nwa_001,F,ehl001,hood,UH,3,699,1554,2696
nwa_001,M,cpr001,Heed,IY,1,249,2381,3226
nwa_001,M,cpr001,had,AE,2,940,1324,2552
nwa_001,M,cpr001,hood,UH,3,1061,2512,3167
nwa_001,M,cse001,Heed,IY,1,255,2284,2731
nwa_001,M,cse001,had,AE,2,790,1389,2502
nwa_001,M,cse001,hood,UH,3,430,1097,2348
nwa_001,M,dro001,Heed,IY,1,2339,2933,3649
nwa_001,M,dro001,had,AE,2,770,1276,2185
nwa_001,M,dro001,hood,UH,3,933,2773,3393
nwa_001,M,exj001,Heed,IY,1,257,2495,2990
nwa_001,M,exj001,had,AE,2,881,1462,2426
nwa_001,M,exj001,hood,UH,3,791,2881,3743
nwa_001,M,ixr001,Heed,IY,1,550,1965,2976
nwa_001,M,ixr001,had,AE,2,865,1393,2506
nwa_001,M,ixr001,hood,UH,3,571,1052,3016
